a,b,R3,R4,theta,status
6.8,5.4,2.1,1.9,24.5,NotYet
6.8,5.5,2.1,1.9,24.0,NotYet
6.8,5.6,2.1,1.9,23.5,NotYet
6.8,5.7,2.1,1.9,23.5,NotYet
6.8,5.8,2.1,1.9,23.0,NotYet
6.8,5.9,2.1,1.9,22.5,NotYet
6.8,6.0,2.1,1.9,22.0,NotYet
6.8,6.1,2.1,1.9,21.5,NotYet
6.8,6.2,2.1,1.9,21.5,NotYet
6.8,6.3,2.1,1.9,21.0,NotYet
6.8,6.4,2.1,1.9,21.0,NotYet
6.9,5.4,2.1,1.9,25.0,NotYet
6.9,5.5,2.1,1.9,24.5,NotYet
6.9,5.6,2.1,1.9,24.0,NotYet
6.9,5.7,2.1,1.9,23.5,NotYet
6.9,5.8,2.1,1.9,23.5,NotYet
6.9,5.9,2.1,1.9,23.0,NotYet
6.9,6.0,2.1,1.9,22.5,NotYet
6.9,6.1,2.1,1.9,22.0,NotYet
6.9,6.2,2.1,1.9,22.0,NotYet
6.9,6.3,2.1,1.9,22.0,NotYet
6.9,6.4,2.1,1.9,22.0,NotYet
7.0,5.4,2.1,1.9,25.5,NotYet
7.0,5.5,2.1,1.9,25.0,NotYet
7.0,5.6,2.1,1.9,24.5,NotYet
7.0,5.7,2.1,1.9,24.0,NotYet
7.0,5.8,2.1,1.9,24.0,NotYet
7.0,5.9,2.1,1.9,23.5,NotYet
7.0,6.0,2.1,1.9,23.0,NotYet
7.0,6.1,2.1,1.9,22.5,NotYet
7.0,6.2,2.1,1.9,22.5,NotYet
7.0,6.3,2.1,1.9,22.5,NotYet
7.0,6.4,2.1,1.9,22.5,NotYet
7.1,5.4,2.1,1.9,26.0,NotYet
7.1,5.5,2.1,1.9,25.5,NotYet
7.1,5.6,2.1,1.9,25.0,NotYet
7.1,5.7,2.1,1.9,24.5,NotYet
7.1,5.8,2.1,1.9,24.0,NotYet
7.1,5.9,2.1,1.9,24.0,NotYet
7.1,6.0,2.1,1.9,23.5,NotYet
7.1,6.1,2.1,1.9,23.0,NotYet
7.1,6.2,2.1,1.9,23.0,NotYet
7.1,6.3,2.1,1.9,23.0,NotYet
7.1,6.4,2.1,1.9,23.5,NotYet
7.2,5.4,2.1,1.9,26.5,NotYet
7.2,5.5,2.1,1.9,26.0,NotYet
7.2,5.6,2.1,1.9,25.5,NotYet
7.2,5.7,2.1,1.9,25.0,NotYet
7.2,5.8,2.1,1.9,24.5,NotYet
7.2,5.9,2.1,1.9,24.5,NotYet
7.2,6.0,2.1,1.9,24.0,NotYet
7.2,6.1,2.1,1.9,24.0,NotYet
7.2,6.2,2.1,1.9,23.5,NotYet
7.2,6.3,2.1,1.9,24.0,NotYet
7.2,6.4,2.1,1.9,24.0,NotYet
7.3,5.4,2.1,1.9,27.0,NotYet
7.3,5.5,2.1,1.9,26.5,NotYet
7.3,5.6,2.1,1.9,26.0,NotYet
7.3,5.7,2.1,1.9,25.5,NotYet
7.3,5.8,2.1,1.9,25.0,NotYet
7.3,5.9,2.1,1.9,24.5,NotYet
7.3,6.0,2.1,1.9,24.5,NotYet
7.3,6.1,2.1,1.9,24.5,NotYet
7.3,6.2,2.1,1.9,24.5,NotYet
7.3,6.3,2.1,1.9,24.5,NotYet
7.3,6.4,2.1,1.9,25.0,NotYet
7.4,5.4,2.1,1.9,27.5,NotYet
7.4,5.5,2.1,1.9,27.0,NotYet
7.4,5.6,2.1,1.9,26.5,NotYet
7.4,5.7,2.1,1.9,26.0,NotYet
7.4,5.8,2.1,1.9,25.5,NotYet
7.4,5.9,2.1,1.9,25.0,NotYet
7.4,6.0,2.1,1.9,25.0,NotYet
7.4,6.1,2.1,1.9,25.0,NotYet
7.4,6.2,2.1,1.9,25.0,NotYet
7.4,6.3,2.1,1.9,25.5,NotYet
7.4,6.4,2.1,1.9,26.0,NotYet
7.5,5.4,2.1,1.9,27.5,NotYet
7.5,5.5,2.1,1.9,27.0,NotYet
7.5,5.6,2.1,1.9,27.0,NotYet
7.5,5.7,2.1,1.9,26.5,NotYet
7.5,5.8,2.1,1.9,26.0,NotYet
7.5,5.9,2.1,1.9,25.5,NotYet
7.5,6.0,2.1,1.9,25.5,NotYet
7.5,6.1,2.1,1.9,25.5,NotYet
7.5,6.2,2.1,1.9,25.5,NotYet
7.5,6.3,2.1,1.9,26.0,NotYet
7.5,6.4,2.1,1.9,26.5,NotYet
7.6,5.4,2.1,1.9,28.0,NotYet
7.6,5.5,2.1,1.9,27.5,NotYet
7.6,5.6,2.1,1.9,27.0,NotYet
7.6,5.7,2.1,1.9,27.0,NotYet
7.6,5.8,2.1,1.9,26.5,NotYet
7.6,5.9,2.1,1.9,26.0,NotYet
7.6,6.0,2.1,1.9,26.0,NotYet
7.6,6.1,2.1,1.9,26.0,NotYet
7.6,6.2,2.1,1.9,26.5,NotYet
7.6,6.3,2.1,1.9,27.0,NotYet
7.6,6.4,2.1,1.9,27.5,NotYet
7.7,5.4,2.1,1.9,28.5,NotYet
7.7,5.5,2.1,1.9,28.0,NotYet
7.7,5.6,2.1,1.9,27.5,NotYet
7.7,5.7,2.1,1.9,27.5,NotYet
7.7,5.8,2.1,1.9,27.0,NotYet
7.7,5.9,2.1,1.9,26.5,NotYet
7.7,6.0,2.1,1.9,26.5,NotYet
7.7,6.1,2.1,1.9,26.5,NotYet
7.7,6.2,2.1,1.9,27.0,NotYet
7.7,6.3,2.1,1.9,27.5,NotYet
7.7,6.4,2.1,1.9,28.5,NotYet
7.8,5.4,2.1,1.9,29.0,NotYet
7.8,5.5,2.1,1.9,28.5,NotYet
7.8,5.6,2.1,1.9,28.0,NotYet
7.8,5.7,2.1,1.9,27.5,NotYet
7.8,5.8,2.1,1.9,27.5,NotYet
7.8,5.9,2.1,1.9,27.0,NotYet
7.8,6.0,2.1,1.9,27.0,NotYet
7.8,6.1,2.1,1.9,27.5,NotYet
7.8,6.2,2.1,1.9,28.0,NotYet
7.8,6.3,2.1,1.9,28.5,NotYet
7.8,6.4,2.1,1.9,29.5,NotYet
